1.332200368307693950e+00 4.690865207426442862e-01 2.848250500912546390e-01
1.301541695439215607e+00 3.906947055065488339e-01 1.645801499176499094e-01
1.748763459490788374e+00 -2.807460645939630073e-02 2.363112171167604247e-01
5.201171690757880883e-01 -1.853811058094616548e-01 -2.430615404226207366e-01
8.763832270558398196e-01 4.113545490838299012e-01 7.552457612910510321e-01
7.836692438949677264e-01 6.058726641116682909e-01 -2.180837126942175574e-02
7.366569540801266580e-01 5.054414295396236767e-01 1.046673485556001371e+00
8.560118958845805981e-01 4.837426661180638243e-01 -4.162557332698368917e-01
1.793158395098786162e+00 6.779715511757711255e-01 7.625376540502433187e-01
2.018831506288573330e+00 1.017564897836190418e+00 1.545834938289579075e+00
1.140333175006789768e+00 7.821873012713453921e-01 -2.455007081362773347e-01
1.912703744788738058e+00 1.766011809644802977e-01 -1.255203643385914170e+00
1.428217258626439445e+00 2.780570751531843410e-01 -6.866458282776533029e-01
1.535206964714810551e+00 5.231423186725323582e-01 -1.287272061281163338e-01
5.287717447129325343e-01 5.417551189773178733e-01 2.162166848310338452e-01
1.213961030583326828e+00 6.873305150908379790e-01 1.177446889768075655e-01
6.185149021748131970e-01 3.766670808778100898e-01 9.061661219292360681e-02
9.839904437320302621e-01 1.951352698806648744e-01 8.391807882474462410e-01
4.773323461435206028e-01 5.638546981017369397e-01 8.607068874784611356e-01
1.192016820031117863e+00 3.023519432101574589e-01 1.377402063106086816e-01
2.750201252847339628e-01 6.320878437698601582e-01 -3.263676855715574865e-02
1.519935658842345383e+00 2.777524832083112516e-01 -7.009473775218334479e-01
2.121013904008623108e+00 -5.693926797591430944e-02 3.202759974745911786e-01
1.516679020263264954e+00 7.601018232532272823e-01 -2.959824373955868282e-01
1.166322886430982031e+00 6.285487871491978185e-01 2.713505812560162989e-01
1.714102792186554147e+00 7.146435690194230528e-01 1.223766317957584726e-01
1.000327903890882997e+00 9.762632519545901832e-01 -2.260104634034513782e-01
8.730031616600515409e-01 4.200172690240947526e-01 3.782490010727774798e-01
1.256479098010724105e+00 2.537355670395844975e-01 -7.766883972060262264e-02
6.372872352371110605e-01 4.773822728109883284e-01 1.206873504623386939e+00
